Time,InNum,OutNum,Station
2023/4/16 0:00,,,A
2023/4/16 0:15,,,A
2023/4/16 0:30,,,A
2023/4/16 0:45,,,A
2023/4/16 1:00,,,A
2023/4/16 1:15,,,A
2023/4/16 1:30,,,A
2023/4/16 1:45,,,A
2023/4/16 2:00,,,A
2023/4/16 2:15,,,A
2023/4/16 2:30,,,A
2023/4/16 2:45,,,A
2023/4/16 3:00,,,A
2023/4/16 3:15,,,A
2023/4/16 3:30,,,A
2023/4/16 3:45,,,A
2023/4/16 4:00,,,A
2023/4/16 4:15,,,A
2023/4/16 4:30,,,A
2023/4/16 4:45,,,A
2023/4/16 5:00,,,A
2023/4/16 5:15,,,A
2023/4/16 5:30,,,A
2023/4/16 5:45,,,A
2023/4/16 6:00,,,A
2023/4/16 6:15,,,A
2023/4/16 6:30,,,A
2023/4/16 6:45,,,A
2023/4/16 7:00,,,A
2023/4/16 7:15,,,A
2023/4/16 7:30,,,A
2023/4/16 7:45,,,A
2023/4/16 8:00,,,A
2023/4/16 8:15,,,A
2023/4/16 8:30,,,A
2023/4/16 8:45,,,A
2023/4/16 9:00,,,A
2023/4/16 9:15,,,A
2023/4/16 9:30,,,A
2023/4/16 9:45,,,A
2023/4/16 10:00,,,A
2023/4/16 10:15,,,A
2023/4/16 10:30,,,A
2023/4/16 10:45,,,A
2023/4/16 11:00,,,A
2023/4/16 11:15,,,A
2023/4/16 11:30,,,A
2023/4/16 11:45,,,A
2023/4/16 12:00,,,A
2023/4/16 12:15,,,A
2023/4/16 12:30,,,A
2023/4/16 12:45,,,A
2023/4/16 13:00,,,A
2023/4/16 13:15,,,A
2023/4/16 13:30,,,A
2023/4/16 13:45,,,A
2023/4/16 14:00,,,A
2023/4/16 14:15,,,A
2023/4/16 14:30,,,A
2023/4/16 14:45,,,A
2023/4/16 15:00,,,A
2023/4/16 15:15,,,A
2023/4/16 15:30,,,A
2023/4/16 15:45,,,A
2023/4/16 16:00,,,A
2023/4/16 16:15,,,A
2023/4/16 16:30,,,A
2023/4/16 16:45,,,A
2023/4/16 17:00,,,A
2023/4/16 17:15,,,A
2023/4/16 17:30,,,A
2023/4/16 17:45,,,A
2023/4/16 18:00,,,A
2023/4/16 18:15,,,A
2023/4/16 18:30,,,A
2023/4/16 18:45,,,A
2023/4/16 19:00,,,A
2023/4/16 19:15,,,A
2023/4/16 19:30,,,A
2023/4/16 19:45,,,A
2023/4/16 20:00,,,A
2023/4/16 20:15,,,A
2023/4/16 20:30,,,A
2023/4/16 20:45,,,A
2023/4/16 21:00,,,A
2023/4/16 21:15,,,A
2023/4/16 21:30,,,A
2023/4/16 21:45,,,A
2023/4/16 22:00,,,A
2023/4/16 22:15,,,A
2023/4/16 22:30,,,A
2023/4/16 22:45,,,A
2023/4/16 23:00,,,A
2023/4/16 23:15,,,A
2023/4/16 23:30,,,A
2023/4/16 23:45,,,A
2023/4/16 0:00,,,B
2023/4/16 0:15,,,B
2023/4/16 0:30,,,B
2023/4/16 0:45,,,B
2023/4/16 1:00,,,B
2023/4/16 1:15,,,B
2023/4/16 1:30,,,B
2023/4/16 1:45,,,B
2023/4/16 2:00,,,B
2023/4/16 2:15,,,B
2023/4/16 2:30,,,B
2023/4/16 2:45,,,B
2023/4/16 3:00,,,B
2023/4/16 3:15,,,B
2023/4/16 3:30,,,B
2023/4/16 3:45,,,B
2023/4/16 4:00,,,B
2023/4/16 4:15,,,B
2023/4/16 4:30,,,B
2023/4/16 4:45,,,B
2023/4/16 5:00,,,B
2023/4/16 5:15,,,B
2023/4/16 5:30,,,B
2023/4/16 5:45,,,B
2023/4/16 6:00,,,B
2023/4/16 6:15,,,B
2023/4/16 6:30,,,B
