Time,InNum,OutNum,Station
2023-04-16 00:00:00,360,196,A
2023-04-16 00:15:00,120,43,A
2023-04-16 00:30:00,0,21,A
2023-04-16 00:45:00,0,0,A
2023-04-16 01:00:00,0,0,A
2023-04-16 01:15:00,0,0,A
2023-04-16 01:30:00,0,0,A
2023-04-16 01:45:00,0,0,A
2023-04-16 02:00:00,0,0,A
2023-04-16 02:15:00,0,0,A
2023-04-16 02:30:00,0,0,A
2023-04-16 02:45:00,0,0,A
2023-04-16 03:00:00,0,0,A
2023-04-16 03:15:00,0,0,A
2023-04-16 03:30:00,0,0,A
2023-04-16 03:45:00,0,0,A
2023-04-16 04:00:00,0,0,A
2023-04-16 04:15:00,0,0,A
2023-04-16 04:30:00,0,0,A
2023-04-16 04:45:00,0,0,A
2023-04-16 05:00:00,0,0,A
2023-04-16 05:15:00,0,0,A
2023-04-16 05:30:00,42,42,A
2023-04-16 05:45:00,504,21,A
2023-04-16 06:00:00,441,0,A
2023-04-16 06:15:00,630,63,A
2023-04-16 06:30:00,676,231,A
2023-04-16 06:45:00,1155,441,A
2023-04-16 07:00:00,1239,399,A
2023-04-16 07:15:00,1199,1134,A
2023-04-16 07:30:00,1743,735,A
2023-04-16 07:45:00,1554,1155,A
2023-04-16 08:00:00,1995,1034,A
2023-04-16 08:15:00,2079,1189,A
2023-04-16 08:30:00,2079,1302,A
2023-04-16 08:45:00,1911,1122,A
2023-04-16 09:00:00,1785,1024,A
2023-04-16 09:15:00,2058,1005,A
2023-04-16 09:30:00,1588,1533,A
2023-04-16 09:45:00,2184,1638,A
2023-04-16 10:00:00,1626,1953,A
2023-04-16 10:15:00,2247,1159,A
2023-04-16 10:30:00,1785,1428,A
2023-04-16 10:45:00,1484,2268,A
2023-04-16 11:00:00,1470,1428,A
2023-04-16 11:15:00,1220,1554,A
2023-04-16 11:30:00,1386,1407,A
2023-04-16 11:45:00,1213,1449,A
2023-04-16 12:00:00,1386,1470,A
2023-04-16 12:15:00,1533,1095,A
2023-04-16 12:30:00,1701,1512,A
2023-04-16 12:45:00,1352,1323,A
2023-04-16 13:00:00,1806,1309,A
2023-04-16 13:15:00,1150,1155,A
2023-04-16 13:30:00,1848,1204,A
2023-04-16 13:45:00,1743,1701,A
2023-04-16 14:00:00,1575,1428,A
2023-04-16 14:15:00,1764,1701,A
2023-04-16 14:30:00,1806,1386,A
2023-04-16 14:45:00,1932,1596,A
2023-04-16 15:00:00,1280,1596,A
2023-04-16 15:15:00,2394,1659,A
2023-04-16 15:30:00,1333,2079,A
2023-04-16 15:45:00,1701,1869,A
2023-04-16 16:00:00,1198,1260,A
2023-04-16 16:15:00,1154,1911,A
2023-04-16 16:30:00,1512,1274,A
2023-04-16 16:45:00,2037,1869,A
2023-04-16 17:00:00,1722,2184,A
2023-04-16 17:15:00,1366,1554,A
2023-04-16 17:30:00,1109,1365,A
2023-04-16 17:45:00,3318,2037,A
2023-04-16 18:00:00,2088,2457,A
2023-04-16 18:15:00,1506,1365,A
2023-04-16 18:30:00,1596,2310,A
2023-04-16 18:45:00,1369,1911,A
2023-04-16 19:00:00,874,1344,A
