Time,InNum,OutNum,Station
2023-04-16 00:00:00,149,242,A
2023-04-16 00:15:00,43,247,A
2023-04-16 00:30:00,14,150,A
2023-04-16 00:45:00,0,185,A
2023-04-16 01:00:00,38,174,A
2023-04-16 01:15:00,0,164,A
2023-04-16 01:30:00,33,172,A
2023-04-16 01:45:00,32,99,A
2023-04-16 02:00:00,0,64,A
2023-04-16 02:15:00,72,164,A
2023-04-16 02:30:00,140,141,A
2023-04-16 02:45:00,56,47,A
2023-04-16 03:00:00,0,76,A
2023-04-16 03:15:00,124,53,A
2023-04-16 03:30:00,146,110,A
2023-04-16 03:45:00,102,46,A
2023-04-16 04:00:00,174,55,A
2023-04-16 04:15:00,177,40,A
2023-04-16 04:30:00,121,58,A
2023-04-16 04:45:00,24,19,A
2023-04-16 05:00:00,129,117,A
2023-04-16 05:15:00,62,0,A
2023-04-16 05:30:00,134,57,A
2023-04-16 05:45:00,285,0,A
2023-04-16 06:00:00,340,0,A
2023-04-16 06:15:00,512,0,A
2023-04-16 06:30:00,694,292,A
2023-04-16 06:45:00,999,362,A
2023-04-16 07:00:00,1176,582,A
2023-04-16 07:15:00,1342,922,A
2023-04-16 07:30:00,1717,949,A
2023-04-16 07:45:00,1598,1056,A
2023-04-16 08:00:00,1812,1090,A
2023-04-16 08:15:00,1872,1151,A
2023-04-16 08:30:00,1817,1083,A
2023-04-16 08:45:00,1834,1077,A
2023-04-16 09:00:00,1699,1175,A
2023-04-16 09:15:00,1830,1059,A
2023-04-16 09:30:00,1674,1416,A
2023-04-16 09:45:00,1871,1354,A
2023-04-16 10:00:00,1668,1581,A
2023-04-16 10:15:00,1903,1359,A
2023-04-16 10:30:00,1662,1402,A
2023-04-16 10:45:00,1465,1640,A
2023-04-16 11:00:00,1452,1316,A
2023-04-16 11:15:00,1314,1520,A
2023-04-16 11:30:00,1389,1378,A
2023-04-16 11:45:00,1342,1396,A
2023-04-16 12:00:00,1365,1370,A
2023-04-16 12:15:00,1411,1202,A
2023-04-16 12:30:00,1632,1495,A
2023-04-16 12:45:00,1424,1306,A
2023-04-16 13:00:00,1550,1400,A
2023-04-16 13:15:00,1392,1405,A
2023-04-16 13:30:00,1718,1443,A
2023-04-16 13:45:00,1570,1547,A
2023-04-16 14:00:00,1519,1396,A
2023-04-16 14:15:00,1719,1639,A
2023-04-16 14:30:00,1701,1494,A
2023-04-16 14:45:00,1674,1501,A
2023-04-16 15:00:00,1409,1696,A
2023-04-16 15:15:00,1753,1524,A
2023-04-16 15:30:00,1346,1699,A
2023-04-16 15:45:00,1473,1717,A
2023-04-16 16:00:00,1443,1649,A
2023-04-16 16:15:00,1269,1774,A
2023-04-16 16:30:00,1356,1402,A
2023-04-16 16:45:00,1657,1875,A
2023-04-16 17:00:00,1727,1837,A
2023-04-16 17:15:00,1576,1614,A
2023-04-16 17:30:00,1701,1873,A
2023-04-16 17:45:00,2214,1984,A
2023-04-16 18:00:00,1804,2046,A
2023-04-16 18:15:00,1593,1755,A
2023-04-16 18:30:00,1583,2085,A
2023-04-16 18:45:00,1397,1888,A
2023-04-16 19:00:00,1033,1554,A
2023-04-16 19:15:00,1240,1861,A
2023-04-16 19:30:00,1136,1655,A
2023-04-16 19:45:00,956,1462,A
2023-04-16 20:00:00,879,1634,A
2023-04-16 20:15:00,827,1598,A
2023-04-16 20:30:00,783,1829,A
2023-04-16 20:45:00,547,1383,A
2023-04-16 21:00:00,578,1521,A
2023-04-16 21:15:00,679,1503,A
2023-04-16 21:30:00,361,1227,A
2023-04-16 21:45:00,490,1202,A
2023-04-16 22:00:00,323,1425,A
2023-04-16 22:15:00,273,935,A
2023-04-16 22:30:00,0,939,A
2023-04-16 22:45:00,136,1052,A
2023-04-16 23:00:00,76,726,A
2023-04-16 23:15:00,0,474,A
2023-04-16 23:30:00,53,462,A
2023-04-16 23:45:00,0,285,A
