Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,218,B
2023-04-16 00:15:00,98,13,B
2023-04-16 00:30:00,56,229,B
2023-04-16 00:45:00,297,28,B
2023-04-16 01:00:00,167,0,B
2023-04-16 01:15:00,53,0,B
2023-04-16 01:30:00,0,0,B
2023-04-16 01:45:00,0,0,B
2023-04-16 02:00:00,0,0,B
2023-04-16 02:15:00,0,0,B
2023-04-16 02:30:00,54,0,B
2023-04-16 02:45:00,95,0,B
2023-04-16 03:00:00,115,130,B
2023-04-16 03:15:00,123,75,B
2023-04-16 03:30:00,73,0,B
2023-04-16 03:45:00,278,0,B
2023-04-16 04:00:00,415,292,B
2023-04-16 04:15:00,0,0,B
2023-04-16 04:30:00,283,17,B
2023-04-16 04:45:00,0,0,B
2023-04-16 05:00:00,74,0,B
2023-04-16 05:15:00,0,0,B
2023-04-16 05:30:00,61,0,B
2023-04-16 05:45:00,312,0,B
2023-04-16 06:00:00,193,0,B
2023-04-16 06:15:00,959,0,B
2023-04-16 06:30:00,1059,283,B
2023-04-16 06:45:00,2335,427,B
2023-04-16 07:00:00,2297,913,B
2023-04-16 07:15:00,3001,1169,B
2023-04-16 07:30:00,3622,1390,B
2023-04-16 07:45:00,3551,1431,B
2023-04-16 08:00:00,4080,1345,B
2023-04-16 08:15:00,3494,1761,B
2023-04-16 08:30:00,4034,2239,B
2023-04-16 08:45:00,3300,1316,B
2023-04-16 09:00:00,3864,2040,B
2023-04-16 09:15:00,3644,2137,B
2023-04-16 09:30:00,3342,1472,B
2023-04-16 09:45:00,3891,1853,B
2023-04-16 10:00:00,3564,1730,B
2023-04-16 10:15:00,3592,2621,B
2023-04-16 10:30:00,3729,2318,B
2023-04-16 10:45:00,3486,2541,B
2023-04-16 11:00:00,3915,2912,B
2023-04-16 11:15:00,3588,2335,B
2023-04-16 11:30:00,3868,3111,B
2023-04-16 11:45:00,3472,2334,B
2023-04-16 12:00:00,3455,2335,B
2023-04-16 12:15:00,3097,2890,B
2023-04-16 12:30:00,3083,2056,B
2023-04-16 12:45:00,2725,2797,B
2023-04-16 13:00:00,2947,2251,B
2023-04-16 13:15:00,3124,2891,B
2023-04-16 13:30:00,2858,2832,B
2023-04-16 13:45:00,3384,3148,B
2023-04-16 14:00:00,2986,3325,B
2023-04-16 14:15:00,3555,2701,B
2023-04-16 14:30:00,3485,3740,B
2023-04-16 14:45:00,3080,2751,B
2023-04-16 15:00:00,3206,2919,B
2023-04-16 15:15:00,2597,2954,B
2023-04-16 15:30:00,2898,2402,B
2023-04-16 15:45:00,2384,3506,B
2023-04-16 16:00:00,2786,2760,B
2023-04-16 16:15:00,2505,3302,B
2023-04-16 16:30:00,2646,3941,B
2023-04-16 16:45:00,2840,2998,B
2023-04-16 17:00:00,2798,4463,B
2023-04-16 17:15:00,3568,2746,B
2023-04-16 17:30:00,3218,4294,B
2023-04-16 17:45:00,3540,4193,B
2023-04-16 18:00:00,3449,3075,B
2023-04-16 18:15:00,2945,4048,B
2023-04-16 18:30:00,2871,3088,B
2023-04-16 18:45:00,2521,4159,B
2023-04-16 19:00:00,2406,3876,B
2023-04-16 19:15:00,2124,3867,B
2023-04-16 19:30:00,1704,3511,B
2023-04-16 19:45:00,1618,2151,B
2023-04-16 20:00:00,1512,3604,B
2023-04-16 20:15:00,1331,2360,B
2023-04-16 20:30:00,1384,2318,B
2023-04-16 20:45:00,1165,3333,B
2023-04-16 21:00:00,1296,2218,B
2023-04-16 21:15:00,1205,3319,B
2023-04-16 21:30:00,1137,3299,B
2023-04-16 21:45:00,1167,3200,B
2023-04-16 22:00:00,807,3927,B
2023-04-16 22:15:00,601,2414,B
2023-04-16 22:30:00,250,2520,B
2023-04-16 22:45:00,88,3487,B
2023-04-16 23:00:00,0,2185,B
2023-04-16 23:15:00,0,2223,B
2023-04-16 23:30:00,0,1200,B
2023-04-16 23:45:00,0,831,B
