Time,InNum,OutNum,Station
2023-04-16 00:00:00,43,0,C
2023-04-16 00:15:00,80,0,C
2023-04-16 00:30:00,46,0,C
2023-04-16 00:45:00,95,33,C
2023-04-16 01:00:00,14,20,C
2023-04-16 01:15:00,56,88,C
2023-04-16 01:30:00,39,0,C
2023-04-16 01:45:00,89,0,C
2023-04-16 02:00:00,0,0,C
2023-04-16 02:15:00,0,0,C
2023-04-16 02:30:00,49,0,C
2023-04-16 02:45:00,116,53,C
2023-04-16 03:00:00,173,123,C
2023-04-16 03:15:00,150,256,C
2023-04-16 03:30:00,278,428,C
2023-04-16 03:45:00,303,478,C
2023-04-16 04:00:00,179,289,C
2023-04-16 04:15:00,230,374,C
2023-04-16 04:30:00,215,246,C
2023-04-16 04:45:00,359,298,C
2023-04-16 05:00:00,251,186,C
2023-04-16 05:15:00,109,88,C
2023-04-16 05:30:00,54,13,C
2023-04-16 05:45:00,30,0,C
2023-04-16 06:00:00,122,0,C
2023-04-16 06:15:00,164,0,C
2023-04-16 06:30:00,536,184,C
2023-04-16 06:45:00,559,184,C
2023-04-16 07:00:00,1237,590,C
2023-04-16 07:15:00,1463,1082,C
2023-04-16 07:30:00,1923,1172,C
2023-04-16 07:45:00,2550,1490,C
2023-04-16 08:00:00,3260,2084,C
2023-04-16 08:15:00,3645,3034,C
2023-04-16 08:30:00,2634,4095,C
2023-04-16 08:45:00,2643,3060,C
2023-04-16 09:00:00,2256,2498,C
2023-04-16 09:15:00,2149,2932,C
2023-04-16 09:30:00,1912,3912,C
2023-04-16 09:45:00,1637,3834,C
2023-04-16 10:00:00,2092,2356,C
2023-04-16 10:15:00,1685,1771,C
2023-04-16 10:30:00,1845,1728,C
2023-04-16 10:45:00,1949,1894,C
2023-04-16 11:00:00,1972,1958,C
2023-04-16 11:15:00,1652,2004,C
2023-04-16 11:30:00,1573,2081,C
2023-04-16 11:45:00,1898,1655,C
2023-04-16 12:00:00,2367,1635,C
2023-04-16 12:15:00,2178,1558,C
2023-04-16 12:30:00,2206,1826,C
2023-04-16 12:45:00,2175,1687,C
2023-04-16 13:00:00,1935,1787,C
2023-04-16 13:15:00,2367,1555,C
2023-04-16 13:30:00,2342,1890,C
2023-04-16 13:45:00,2376,1753,C
2023-04-16 14:00:00,2472,1906,C
2023-04-16 14:15:00,2699,1967,C
2023-04-16 14:30:00,2311,1925,C
2023-04-16 14:45:00,2560,2415,C
2023-04-16 15:00:00,2183,1991,C
2023-04-16 15:15:00,2396,1978,C
2023-04-16 15:30:00,2119,1466,C
2023-04-16 15:45:00,2276,1912,C
2023-04-16 16:00:00,2101,1844,C
2023-04-16 16:15:00,2279,1651,C
2023-04-16 16:30:00,2298,1830,C
2023-04-16 16:45:00,2210,1641,C
2023-04-16 17:00:00,2624,2108,C
2023-04-16 17:15:00,2731,2594,C
2023-04-16 17:30:00,3086,2619,C
2023-04-16 17:45:00,2898,2783,C
2023-04-16 18:00:00,3664,2531,C
2023-04-16 18:15:00,4754,2807,C
2023-04-16 18:30:00,4363,3309,C
2023-04-16 18:45:00,3839,3013,C
2023-04-16 19:00:00,3634,2955,C
2023-04-16 19:15:00,3113,2363,C
2023-04-16 19:30:00,2625,2358,C
2023-04-16 19:45:00,2187,2498,C
2023-04-16 20:00:00,2339,2348,C
2023-04-16 20:15:00,1925,1952,C
2023-04-16 20:30:00,2069,1383,C
2023-04-16 20:45:00,2114,1791,C
2023-04-16 21:00:00,2266,1927,C
2023-04-16 21:15:00,2180,1604,C
2023-04-16 21:30:00,2012,1851,C
2023-04-16 21:45:00,2148,1492,C
2023-04-16 22:00:00,1487,1829,C
2023-04-16 22:15:00,1361,2046,C
2023-04-16 22:30:00,1059,1785,C
2023-04-16 22:45:00,757,1626,C
2023-04-16 23:00:00,302,1274,C
2023-04-16 23:15:00,170,1136,C
2023-04-16 23:30:00,219,843,C
2023-04-16 23:45:00,87,282,C
