Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,D
2023-04-16 00:15:00,0,0,D
2023-04-16 00:30:00,0,0,D
2023-04-16 00:45:00,0,0,D
2023-04-16 01:00:00,0,0,D
2023-04-16 01:15:00,0,0,D
2023-04-16 01:30:00,0,0,D
2023-04-16 01:45:00,0,0,D
2023-04-16 02:00:00,0,0,D
2023-04-16 02:15:00,0,0,D
2023-04-16 02:30:00,0,0,D
2023-04-16 02:45:00,0,0,D
2023-04-16 03:00:00,6,0,D
2023-04-16 03:15:00,16,0,D
2023-04-16 03:30:00,91,6,D
2023-04-16 03:45:00,52,70,D
2023-04-16 04:00:00,66,16,D
2023-04-16 04:15:00,72,32,D
2023-04-16 04:30:00,91,79,D
2023-04-16 04:45:00,113,87,D
2023-04-16 05:00:00,49,125,D
2023-04-16 05:15:00,70,16,D
2023-04-16 05:30:00,14,62,D
2023-04-16 05:45:00,108,0,D
2023-04-16 06:00:00,447,77,D
2023-04-16 06:15:00,558,89,D
2023-04-16 06:30:00,918,106,D
2023-04-16 06:45:00,985,257,D
2023-04-16 07:00:00,1244,132,D
2023-04-16 07:15:00,1490,491,D
2023-04-16 07:30:00,1719,605,D
2023-04-16 07:45:00,2260,584,D
2023-04-16 08:00:00,2788,1074,D
2023-04-16 08:15:00,3160,1334,D
2023-04-16 08:30:00,2809,1823,D
2023-04-16 08:45:00,2880,1573,D
2023-04-16 09:00:00,2217,1252,D
2023-04-16 09:15:00,2249,1443,D
2023-04-16 09:30:00,1934,1267,D
2023-04-16 09:45:00,1912,1112,D
2023-04-16 10:00:00,1677,897,D
2023-04-16 10:15:00,1433,887,D
2023-04-16 10:30:00,1621,966,D
2023-04-16 10:45:00,1272,889,D
2023-04-16 11:00:00,1339,1331,D
2023-04-16 11:15:00,1229,776,D
2023-04-16 11:30:00,1277,1137,D
2023-04-16 11:45:00,1010,990,D
2023-04-16 12:00:00,1324,1106,D
2023-04-16 12:15:00,1349,1270,D
2023-04-16 12:30:00,1269,1272,D
2023-04-16 12:45:00,1230,1250,D
2023-04-16 13:00:00,1152,913,D
2023-04-16 13:15:00,1390,1044,D
2023-04-16 13:30:00,1525,1020,D
2023-04-16 13:45:00,1454,1183,D
2023-04-16 14:00:00,1589,851,D
2023-04-16 14:15:00,1378,1086,D
2023-04-16 14:30:00,1337,1082,D
2023-04-16 14:45:00,1248,1249,D
2023-04-16 15:00:00,1246,1219,D
2023-04-16 15:15:00,1375,1194,D
2023-04-16 15:30:00,1185,1406,D
2023-04-16 15:45:00,1355,1405,D
2023-04-16 16:00:00,1243,1656,D
2023-04-16 16:15:00,1219,1275,D
2023-04-16 16:30:00,1372,1154,D
2023-04-16 16:45:00,1778,1352,D
2023-04-16 17:00:00,1716,1525,D
2023-04-16 17:15:00,1994,1872,D
2023-04-16 17:30:00,1486,1928,D
2023-04-16 17:45:00,1951,2218,D
2023-04-16 18:00:00,1622,2416,D
2023-04-16 18:15:00,2092,2315,D
2023-04-16 18:30:00,2023,2515,D
2023-04-16 18:45:00,1659,2540,D
2023-04-16 19:00:00,1702,2691,D
2023-04-16 19:15:00,1572,2316,D
2023-04-16 19:30:00,1504,2352,D
2023-04-16 19:45:00,883,2221,D
2023-04-16 20:00:00,1181,2292,D
2023-04-16 20:15:00,1091,2094,D
2023-04-16 20:30:00,979,2101,D
2023-04-16 20:45:00,658,1869,D
2023-04-16 21:00:00,586,1997,D
2023-04-16 21:15:00,694,1757,D
2023-04-16 21:30:00,400,2552,D
2023-04-16 21:45:00,747,2341,D
2023-04-16 22:00:00,773,2709,D
2023-04-16 22:15:00,575,1927,D
2023-04-16 22:30:00,285,2110,D
2023-04-16 22:45:00,146,1389,D
2023-04-16 23:00:00,91,897,D
2023-04-16 23:15:00,0,629,D
2023-04-16 23:30:00,33,157,D
2023-04-16 23:45:00,0,34,D
