Time,InNum,OutNum,Station
2023-04-16 00:00:00,98,0,G
2023-04-16 00:15:00,62,0,G
2023-04-16 00:30:00,169,0,G
2023-04-16 00:45:00,17,0,G
2023-04-16 01:00:00,0,0,G
2023-04-16 01:15:00,0,0,G
2023-04-16 01:30:00,0,0,G
2023-04-16 01:45:00,0,0,G
2023-04-16 02:00:00,0,0,G
2023-04-16 02:15:00,0,0,G
2023-04-16 02:30:00,0,0,G
2023-04-16 02:45:00,0,0,G
2023-04-16 03:00:00,0,0,G
2023-04-16 03:15:00,174,0,G
2023-04-16 03:30:00,67,0,G
2023-04-16 03:45:00,40,0,G
2023-04-16 04:00:00,101,0,G
2023-04-16 04:15:00,373,0,G
2023-04-16 04:30:00,323,0,G
2023-04-16 04:45:00,253,0,G
2023-04-16 05:00:00,113,0,G
2023-04-16 05:15:00,98,0,G
2023-04-16 05:30:00,192,0,G
2023-04-16 05:45:00,166,0,G
2023-04-16 06:00:00,227,0,G
2023-04-16 06:15:00,339,0,G
2023-04-16 06:30:00,450,0,G
2023-04-16 06:45:00,627,245,G
2023-04-16 07:00:00,634,347,G
2023-04-16 07:15:00,723,715,G
2023-04-16 07:30:00,895,1121,G
2023-04-16 07:45:00,1102,1247,G
2023-04-16 08:00:00,1482,3739,G
2023-04-16 08:15:00,1501,4115,G
2023-04-16 08:30:00,1627,5116,G
2023-04-16 08:45:00,1475,5506,G
2023-04-16 09:00:00,1400,3727,G
2023-04-16 09:15:00,1460,4104,G
2023-04-16 09:30:00,1410,3238,G
2023-04-16 09:45:00,1633,4525,G
2023-04-16 10:00:00,1645,2884,G
2023-04-16 10:15:00,1505,2342,G
2023-04-16 10:30:00,1534,2435,G
2023-04-16 10:45:00,1428,1648,G
2023-04-16 11:00:00,1457,2620,G
2023-04-16 11:15:00,1267,2233,G
2023-04-16 11:30:00,1500,2511,G
2023-04-16 11:45:00,1421,2864,G
2023-04-16 12:00:00,1403,1673,G
2023-04-16 12:15:00,1798,2653,G
2023-04-16 12:30:00,1755,2149,G
2023-04-16 12:45:00,1691,2015,G
2023-04-16 13:00:00,1973,2139,G
2023-04-16 13:15:00,1927,1448,G
2023-04-16 13:30:00,1712,2426,G
2023-04-16 13:45:00,2015,1833,G
2023-04-16 14:00:00,1934,2660,G
2023-04-16 14:15:00,2319,2438,G
2023-04-16 14:30:00,2039,2062,G
2023-04-16 14:45:00,2316,2288,G
2023-04-16 15:00:00,2143,2125,G
2023-04-16 15:15:00,2295,2792,G
2023-04-16 15:30:00,2660,2300,G
2023-04-16 15:45:00,2713,2566,G
2023-04-16 16:00:00,2912,2349,G
2023-04-16 16:15:00,2821,1433,G
2023-04-16 16:30:00,3229,2364,G
2023-04-16 16:45:00,3101,2023,G
2023-04-16 17:00:00,3556,2070,G
2023-04-16 17:15:00,3872,2674,G
2023-04-16 17:30:00,3462,2144,G
2023-04-16 17:45:00,4536,2429,G
2023-04-16 18:00:00,4353,2845,G
2023-04-16 18:15:00,4985,3760,G
2023-04-16 18:30:00,4547,3435,G
2023-04-16 18:45:00,4107,3076,G
2023-04-16 19:00:00,3515,2239,G
2023-04-16 19:15:00,3051,1742,G
2023-04-16 19:30:00,3127,1988,G
2023-04-16 19:45:00,3253,1062,G
2023-04-16 20:00:00,3424,1354,G
2023-04-16 20:15:00,3549,1147,G
2023-04-16 20:30:00,3422,522,G
2023-04-16 20:45:00,3371,755,G
2023-04-16 21:00:00,3061,793,G
2023-04-16 21:15:00,3758,603,G
2023-04-16 21:30:00,3328,532,G
2023-04-16 21:45:00,3518,424,G
2023-04-16 22:00:00,3401,504,G
2023-04-16 22:15:00,3553,325,G
2023-04-16 22:30:00,2530,479,G
2023-04-16 22:45:00,2335,287,G
2023-04-16 23:00:00,1413,158,G
2023-04-16 23:15:00,348,0,G
2023-04-16 23:30:00,306,0,G
2023-04-16 23:45:00,68,0,G
